No.,material,Formula,CrystalSystem,bulk,shear,young,poisson,Hexp,best,y_cs,y_gap,y_den,y_csbg,y_csden,y_bgden
52,mp-149,Si,cubic,83.3,61.4,147.8,0.2,12,H5,H1a,H1a,H2,H5,H5,H5
53,mp-2513,As2Pt,cubic,137.3,82.9,206.9,0.25,11.2,H5,H1a,H1a,H4,H5,H1a,H3
54,mp-778,Fe2P,hexagonal,215.5,88.8,234.3,0.32,11,H4,H4,H4,H4,H4,H4,H4
55,mp-561511,FeAsS,monoclinic,142.6,117,275.7,0.18,10.8,H4,H4,H1a,H4,H4,H4,H4
56,mp-766,As2Ru,orthorhombic,149.2,104.7,254.5,0.22,10.8,H4,H2,H1a,H4,H2,H4,H4
57,mp-2070,CoS2,cubic,124,73.2,183.5,0.25,10.7,H1a,H1a,H4,H4,H1a,H1a,H4
58,mp-1111,Mn5Si3,hexagonal,148,46.3,124.7,0.36,10.6,H3,H4,H4,H4,H4,H4,H4
59,mp-1522,FeS2,orthorhombic,149.9,124.8,293.1,0.17,10.1,H4,H2,H1a,H4,H2,H4,H4
60,mp-5881,CoSbS,orthorhombic,115.8,78.7,192.4,0.22,9.8,H4,H2,H1a,H4,H2,H4,H4
61,mp-2490,GaP,cubic,76.3,51.6,126.2,0.22,9.5,H5,H1a,H1a,H4,H5,H1a,H4
62,mp-427,FeAs,orthorhombic,163,81,208.3,0.29,9.4,H4,H2,H4,H4,H4,H4,H4
63,mp-1550,AlP,cubic,85.3,47.1,119.3,0.27,9.4,H3,H1a,H1a,H2,H5,H5,H5
64,mp-2657,TiO2,tetragonal,209,109.7,279.8,0.28,9.3,H5,H4,H1a,H4,H1a,H4,H4
65,mp-22205,InN,hexagonal,104.7,66.2,163.9,0.24,9,H2,H4,H1a,H4,H1a,H4,H4
66,mp-760,FeSe2,orthorhombic,117.6,91.8,218.4,0.19,9,H4,H2,H1a,H4,H2,H4,H4
67,mp-288,PtS,tetragonal,155.8,33.1,92.7,0.4,8.8,H3,H4,H1a,H4,H1a,H3,H3
68,mp-32,Ge,cubic,59.3,45.6,108.8,0.19,8.8,H3,H1a,H4,H4,H1a,H1a,H4
69,mp-553946,CoAsS,orthorhombic,134.2,95.7,232,0.21,8.8,H4,H2,H4,H4,H4,H4,H4
70,mp-452,CoAs3,cubic,116,82.8,200.6,0.21,8.6,H4,H1a,H4,H4,H1a,H1a,H4
71,mp-2715,CoAs2,monoclinic,131.8,89,217.8,0.22,8,H4,H4,H1a,H4,H4,H4,H4
72,mp-4962,CoSbS,orthorhombic,112.8,74.7,183.6,0.23,7.8,H4,H2,H4,H4,H4,H4,H4
73,mp-2534,GaAs,cubic,60.3,40.7,99.6,0.22,7.5,H5,H1a,H1a,H4,H5,H1a,H4
74,mp-2652,Y2O3,cubic,137.7,61.6,160.8,0.31,7.5,H2,H1a,H2,H4,H2,H1a,H2
75,mp-562,Sb2Pt,cubic,104,54.4,138.9,0.28,7.5,H1a,H1a,H4,H4,H1a,H1a,H4
76,mp-22079,AsRh,orthorhombic,156.2,60.6,161.1,0.33,7.4,H2,H2,H4,H4,H4,H1a,H4
77,mp-19306,Fe3O4,trigonal,176,64.3,171.9,0.34,7.4,H4,H2,H1a,H4,H2,H4,H4
78,mp-2133,ZnO,hexagonal,129.7,41.3,111.9,0.36,7.2,H3,H4,H1a,H4,H1a,H4,H4
79,mp-3830,NiAsS,cubic,109,58.6,149,0.27,7.1,H5,H1a,H4,H4,H1a,H1a,H4
80,mp-19814,NiAs2,orthorhombic,113.8,54.4,140.5,0.29,6.9,H2,H2,H4,H4,H4,H4,H4
81,mp-390,TiO2,tetragonal,179.3,54.6,148.8,0.36,6.6,H2,H4,H2,H2,H4,H2,H2
82,mp-19417,TiFeO3,trigonal,166.5,47.3,129.5,0.37,6.3,H1a,H2,H2,H4,H2,H4,H2
83,mp-3679,NiSbS,cubic,95.7,50.7,129.2,0.27,6.1,H2,H1a,H4,H4,H1a,H1a,H4
84,mp-504974,Fe2Mo3O8,hexagonal,140.8,42.1,114.8,0.36,6,H1a,H4,H1a,H4,H1a,H4,H4
85,mp-2210,ZrCu,cubic,117,30.3,83.7,0.38,5.8,H3,H1a,H4,H4,H1a,H1a,H4
86,mp-14142,TiZnO3,trigonal,170.4,51.1,139,0.36,5.5,H4,H2,H2,H4,H2,H4,H2
87,mp-20901,NiSe2,cubic,77.3,38,97.9,0.29,5.4,H1a,H1a,H4,H4,H1a,H1a,H4
88,mp-20351,InP,cubic,59.7,31.5,80.3,0.28,5.4,H3,H1a,H1a,H4,H5,H1a,H4
89,mp-22864,Bi2Pt,cubic,81.7,22.9,62.7,0.37,5.1,H3,H1a,H4,H4,H1a,H1a,H4
90,mp-19082,TiMnO3,trigonal,159.2,64.9,171.4,0.32,5.1,H5,H2,H1a,H4,H2,H4,H4
91,mp-2172,AlAs,cubic,69.7,39.2,99,0.26,5,H4,H1a,H1a,H2,H5,H5,H5
92,mp-22682,In2Pt,cubic,95,29.6,80.4,0.36,4.9,H1b,H1a,H4,H4,H1a,H1a,H4
93,mp-1068,CuS2,cubic,77.7,34.4,90,0.31,4.8,H1a,H1a,H4,H4,H1a,H1a,H4
94,mp-4368,SbPdSe,cubic,84.7,30.9,82.7,0.34,4.7,H1a,H1a,H4,H4,H1a,H1a,H4
95,mp-1156,GaSb,cubic,44.7,30,73.6,0.23,4.5,H1b,H1a,H1a,H4,H5,H1a,H4
96,mp-21765,Pd17Se15,cubic,97.3,26,71.6,0.38,4.1,H1b,H1a,H4,H4,H1a,H1a,H4
97,mp-2624,AlSb,cubic,49.3,29.8,74.3,0.25,4,H1a,H1a,H1a,H4,H5,H1a,H4
98,mp-20305,InAs,cubic,49,25.4,65,0.28,3.8,H1a,H1a,H1a,H4,H5,H1a,H4
99,mp-718,SnPd3,cubic,146,51.3,137.8,0.34,3.6,H5,H1a,H4,H4,H1a,H1a,H4
100,mp-738,Sb2Au,cubic,71.3,23.4,63.4,0.35,2.9,H4,H1a,H4,H4,H1a,H1a,H4
101,mp-5058,FeAgS2,tetragonal,57.9,14.7,40.5,0.38,2.9,H3,H4,H4,H4,H4,H4,H4
102,mp-20849,Pd3Pb,cubic,131.3,45.2,121.7,0.35,2.8,H5,H1a,H4,H4,H1a,H1a,H4
103,mp-22736,InCuS2,tetragonal,63.7,25.5,67.4,0.32,2.7,H4,H4,H1a,H4,H1a,H4,H4
104,mp-510589,MnCuO2,triclinic,111.7,41.4,110.5,0.34,2.6,H5,H5,H1a,H4,H5,H4,H4
105,mp-5305,CuAsS,orthorhombic,67.3,29.5,77.1,0.31,2.5,H5,H2,H4,H4,H4,H4,H4
106,mp-704645,CuO,monoclinic,145.8,25.4,71.7,0.42,2.5,H4,H4,H4,H4,H4,H4,H4
107,mp-22648,FeCu2SnS4,tetragonal,67.8,25.2,67.2,0.33,2.4,H4,H4,H4,H4,H4,H4,H4
108,mp-1825,Cu2Sb,tetragonal,92.3,34.6,92.2,0.33,2.3,H5,H4,H4,H4,H4,H4,H4
109,mp-20012,InSb,cubic,35,19.1,48.4,0.27,2.2,H4,H1a,H4,H4,H1a,H1a,H4
110,mp-1070,CdSe,hexagonal,44.4,15.1,40.6,0.35,2.1,H1a,H4,H1a,H4,H1a,H4,H4
111,mp-559200,Cd(InS2)2,cubic,62.7,22.4,60,0.34,2.1,H4,H1a,H1a,H4,H5,H1a,H4
112,mp-570113,BiAu2,cubic,102,20.7,58,0.41,2.1,H4,H1a,H4,H4,H1a,H1a,H4
113,mp-505244,FeCuSe2,tetragonal,27.8,13.6,35.1,0.29,2,H1a,H4,H4,H4,H4,H4,H4
114,mp-361,Cu2O,cubic,111.3,8.6,25.1,0.46,2,H3,H1a,H1a,H4,H5,H1a,H4
115,mp-649774,CuSbPbS3,orthorhombic,21.1,13.3,32.9,0.24,1.9,H1a,H2,H1a,H4,H2,H4,H4
116,mp-3497,FeCuS2,tetragonal,55.9,19.2,51.7,0.35,1.9,H4,H4,H4,H4,H4,H4,H4
117,mp-10695,ZnS,cubic,68.7,33.3,85.8,0.29,1.8,H2,H1a,H2,H4,H2,H1a,H2
118,mp-10519,Cu2SnS3,monoclinic,65.9,27.2,71.8,0.32,1.8,H5,H4,H1a,H4,H4,H4,H4
119,mp-2273,Ag3Sb,orthorhombic,64.9,16.9,46.8,0.38,1.7,H4,H2,H4,H4,H4,H1a,H4
120,mp-22795,Pb2Au,tetragonal,57.2,12.6,35.1,0.4,1.5,H4,H4,H4,H4,H4,H3,H4
121,mp-1190,ZnSe,cubic,58.7,27.4,71.1,0.3,1.4,H2,H1a,H1a,H4,H5,H1a,H4
122,mp-504,CuS,hexagonal,80.1,24.5,66.5,0.36,1.3,H2,H4,H4,H4,H4,H4,H4
123,mp-11,As,trigonal,40.6,28,68.2,0.22,1.2,H2,H2,H4,H4,H2,H4,H4
124,mp-782,Te2Pd,trigonal,52.8,21.6,57.1,0.32,1.1,H2,H2,H4,H4,H2,H4,H4
125,mp-2176,ZnTe,cubic,46,22.7,58.5,0.29,1,H2,H1a,H1a,H4,H5,H1a,H4
126,mp-1193675,B,orthorhombic,223.4,235.9,523.4,0.11,50,H5,H2,H1a,H2,H2,H2,H5
127,mp-8204,LiAlB14,orthorhombic,194.3,188.3,427,0.13,26.5,H1b,H2,H1a,H2,H2,H2,H5
128,mp-34763,NaAlB14,orthorhombic,192.9,196.7,440.5,0.12,25.5,H1b,H2,H1a,H2,H2,H2,H5
129,mp-973391,LiSiB6,orthorhombic,163.5,140.6,327.8,0.17,20.3,H1b,H2,H1a,H2,H2,H2,H5
130,mp-19502,BaTi18Mn3O38,trigonal,129,82.1,203.2,0.24,15.5,H3,H2,H4,H4,H2,H4,H4
131,mp-561551,Y2Si2O7,monoclinic,105,58.9,148.8,0.26,14,H3,H4,H2,H2,H2,H1b,H2
132,mp-759686,BeAlSiHO5,monoclinic,146.5,91.3,226.8,0.24,13.1,H5,H4,H2,H2,H2,H1b,H2
133,mp-3285,Na2Ta4O11,trigonal,153.5,44.7,122.2,0.37,12.7,H3,H2,H2,H4,H2,H4,H2
134,mp-558986,CaMn6SiO12,tetragonal,203.7,84.3,222.3,0.32,12.1,H2,H4,H1a,H4,H1a,H4,H4
135,mp-19770,Fe2O3,trigonal,259.4,68.6,189.2,0.38,10.5,H1a,H2,H4,H4,H2,H4,H4
136,mp-1205321,PtS,tetragonal,144.6,49.4,133,0.35,10.1,H3,H4,H1a,H4,H1a,H3,H3
137,mp-3224,Mn7SiO12,tetragonal,207.2,85.4,225.2,0.32,10,H4,H4,H1a,H4,H1a,H4,H4
138,mp-558553,Sr4Ti5(Si2O11)2,monoclinic,126.9,57,148.8,0.3,7.1,H2,H4,H2,H4,H2,H4,H2
139,mp-1191211,TiVO4,monoclinic,145.7,73,187.7,0.29,6.5,H5,H4,H1a,H4,H4,H4,H4
140,mp-6763,K2Ti(Si2O5)3,triclinic,72,38.9,98.9,0.27,5.5,H5,H5,H2,H2,H5,H5,H2
141,mp-556753,V2Cu5(HO3)4,triclinic,49.9,26.7,67.9,0.27,4.4,H3,H5,H1a,H4,H5,H4,H4
142,mp-1204830,As9Pb5S18,triclinic,12.9,6.4,16.4,0.29,1.8,H3,H5,H4,H4,H4,H4,H4
143,mp-1196185,V4Cu9(ClO9)2,triclinic,39.4,24,59.9,0.25,1.7,H2,H5,H4,H4,H4,H4,H4
